"Run","Run ID","metric","step","timestamp","value"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","21","1768564540606","0.9619839787483215"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","22","1768564660717","0.9706977009773254"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","23","1768564780660","0.9790130853652954"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","24","1768564900648","0.9595044255256653"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","25","1768565020768","0.9221371412277222"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","26","1768565140833","0.942022442817688"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","27","1768565261012","0.9230400919914246"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","28","1768565381461","0.9219773411750793"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","29","1768565502257","0.9084463119506836"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","30","1768565622557","0.9247310161590576"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","31","1768565742685","0.9026211500167847"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","32","1768565863366","0.8730470538139343"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","33","1768565983845","0.8883893489837646"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","34","1768566104298","0.8840860724449158"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","35","1768566224827","0.8476632833480835"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","36","1768566345331","0.8558877110481262"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","37","1768566465654","0.8432848453521729"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","38","1768566586283","0.8686025142669678"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","0","1768561777298","1.2871411343415577"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","1","1768561895472","1.3160381760862139"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","2","1768562013786","1.1585631748040517"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","3","1768562134182","1.084232501520051"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","4","1768562253815","1.0273003978861703"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","5","1768562633588","1.05852782494492"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","6","1768562751239","0.9870421883132723"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","7","1768562869609","0.9664190620183944"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","8","1768562988179","1.0415728479623794"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","9","1768563106806","1.1032535311248568"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","10","1768563226450","0.9656672474410799"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","11","1768563345703","1.0725561807552972"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","12","1768563464859","0.9324895471334458"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","13","1768563584032","1.448216160800722"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","14","1768563703175","0.9954264733526442"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","15","1768563822309","1.25470096733835"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","16","1768563942066","1.0249373349878523"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/test","17","1768564061422","0.9796957025925318"
